YEAR,Week,Visitor,Home,Vis Score,Home Score,CFP,Vis_User,Home_User,Visitor Rank,Home Rank,Visitor Record,Home Record,Reg Season,Conf Title,Bowl,Natty Game,Status,Source
2042,3,Auburn,San Jose State,19,34,,,Mike,16,3,,,1,0,0,0,FINAL,2042 custom schedule screenshots
2042,3,Bowling Green,Toledo,77,10,,Devin,,2,,,,1,0,0,0,FINAL,2042 custom schedule screenshots
2042,3,Oklahoma,USF,0,49,,,Josh,23,6,,,1,0,0,0,FINAL,2042 custom schedule screenshots
2042,3,Texas Tech,Tennessee,52,10,,Noah,,4,,,,1,0,0,0,FINAL,2042 custom schedule screenshots
2042,4,Florida State,South Carolina,56,19,No,Nick,,15,,,,0,0,0,0,FINAL,2042 custom schedule screenshots
2042,4,Kentucky,Bowling Green,10,69,No,,Devin,,2,,,0,0,0,0,FINAL,2042 custom schedule screenshots
2042,4,Oregon,Texas Tech,21,45,No,,Noah,10,4,,,0,0,0,0,FINAL,2042 custom schedule screenshots
2042,4,Texas,Florida,35,38,No,,Doug,9,14,,,0,0,0,0,FINAL,2042 custom schedule screenshots
2042,4,USF,San Jose State,23,28,No,Josh,Mike,6,3,,,1,0,0,0,FINAL,2042 custom schedule screenshots
2042,5,Auburn,Florida State,47,35,No,,Nick,17,12,,,1,0,0,0,FINAL,PS5 watcher import
2042,5,Florida,Bowling Green,38,56,No,Doug,Devin,8,3,,,1,0,0,0,FINAL,PS5 watcher import
2042,5,San Jose State,Washington,36,57,No,Mike,,1,,,,1,0,0,0,FINAL,PS5 watcher import
2042,5,USC,Texas Tech,21,48,No,,Noah,13,4,,,1,0,0,0,FINAL,PS5 watcher import
2042,6,Georgia,Florida State,53,63,,,Nick,6,23,,,1,0,0,0,FINAL,PS5 watcher import
2042,6,Indiana,USF,,,,,Josh,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,6,Missouri,Bowling Green,24,42,,,Devin,,1,,,1,0,0,0,FINAL,PS5 watcher import
2042,6,Oklahoma State,Florida,,,,,Doug,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,6,San Jose State,USC,52,35,,Mike,,10,21,,,1,0,0,0,FINAL,PS5 watcher import
2042,6,Texas Tech,Purdue,,,,Noah,,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,7,Bowling Green,South Carolina,,,,Devin,,,,,,1,0,0,0,SCHEDULED,
2042,7,Florida,Ole Miss,,,,Doug,,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,7,Florida State,Miami,,,,Nick,,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,7,Indiana,San Jose State,,,,,Mike,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,7,Penn State,Texas Tech,,,,,Noah,,,,,1,0,0,0,SCHEDULED,
2042,7,USF,Nebraska,,,,Josh,,,,,,1,0,0,0,SCHEDULED,2042 custom schedule screenshots
2042,8,Florida,Tennessee,,,,Doug,,,,,,1,0,0,0,SCHEDULED,
2042,8,Florida State,Oklahoma,,,,Nick,,,,,,1,0,0,0,SCHEDULED,
2042,8,Michigan,USF,,,,,Josh,,,,,1,0,0,0,SCHEDULED,
2042,8,Notre Dame,Bowling Green,,,,,Devin,,,,,1,0,0,0,SCHEDULED,
2042,8,Texas Tech,San Jose State,,,,Noah,Mike,,,,,1,0,0,0,SCHEDULED,
2042,9,Alabama,Florida,,,,,Doug,,,,,1,0,0,0,SCHEDULED,
2042,9,Oklahoma,Bowling Green,,,,,Devin,,,,,1,0,0,0,SCHEDULED,
2042,9,San Jose State,Nebraska,,,,Mike,,,,,,1,0,0,0,SCHEDULED,
2042,9,Texas Tech,Ohio State,,,,Noah,,,,,,1,0,0,0,SCHEDULED,
2042,9,USF,Michigan State,,,,Josh,,,,,,1,0,0,0,SCHEDULED,
2042,10,Bowling Green,Georgia,,,,Devin,,,,,,1,0,0,0,SCHEDULED,
2042,10,Florida,Iowa,,,,Doug,,,,,,1,0,0,0,SCHEDULED,
2042,10,Michigan,San Jose State,,,,,Mike,,,,,1,0,0,0,SCHEDULED,
2042,10,Ole Miss,Florida State,,,,,Nick,,,,,1,0,0,0,SCHEDULED,
2042,10,USF,Texas Tech,,,,Josh,Noah,,,,,1,0,0,0,SCHEDULED,
2042,11,Bowling Green,Auburn,,,,Devin,,,,,,1,0,0,0,SCHEDULED,
2042,11,Florida,Lsu,,,,Doug,,,,,,1,0,0,0,SCHEDULED,
2042,11,Florida State,Oregon,,,,Nick,,,,,,1,0,0,0,SCHEDULED,
2042,11,Iowa,Texas Tech,,,,,Noah,,,,,1,0,0,0,SCHEDULED,
2042,11,Minnesota,USF,,,,,Josh,,,,,1,0,0,0,SCHEDULED,
2042,11,San Jose State,Wisconsin,,,,Mike,,,,,,1,0,0,0,SCHEDULED,
2042,12,Florida State,Kentucky,,,,Nick,,,,,,1,0,0,0,SCHEDULED,
2042,12,Texas Tech,Wisconsin,,,,Noah,,,,,,1,0,0,0,SCHEDULED,
2042,12,Wyoming,Florida,,,,,Doug,,,,,1,0,0,0,SCHEDULED,
2042,13,Bowling Green,Florida State,,,,Devin,Nick,,,,,1,0,0,0,SCHEDULED,
2042,13,USF,Maryland,,,,Josh,,,,,,1,0,0,0,SCHEDULED,
2042,14,Florida,Florida State,,,,Doug,Nick,,,,,1,0,0,0,SCHEDULED,
2042,14,Penn State,USF,,,,,Josh,,,,,1,0,0,0,SCHEDULED,
2042,14,San Jose State,Michigan State,,,,Mike,,,,,,1,0,0,0,SCHEDULED,
