Year,ClassType,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2042,OVERALL,39,Alabaster,,14,0,8,6,0.0,0.0,189.4
2042,OVERALL,40,Southern Miss,,15,0,0,7,6.0,2.0,135.0
2042,HS,40,UCLA,,13,0,2,11,0.0,0.0,158.9
2042,TRANSFER,40,Troy,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,40,Iowa,,20,0,3,17,0.0,0.0,186.6
2042,HS,41,Hawai'i,,21,0,0,10,9.0,2.0,157.0
2042,TRANSFER,41,Louisiana,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,41,BYU,,28,0,2,22,4.0,0.0,185.85
2042,OVERALL,42,10 Death Valley,,6,0,6,0,,,113.8
2042,HS,42,Hammond,,10,0,6,4,0.0,0.0,156.1
2042,TRANSFER,42,App State,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,42,Wisconsin,,16,0,4,12,0.0,0.0,181.85
2042,HS,43,Alabaster,,10,0,6,4,0.0,0.0,156.1
2042,TRANSFER,43,Colorado State,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,43,Temple,,29,0,1,22,6.0,0.0,181.8
2042,HS,44,San Diego St.,,12,0,3,8,1.0,0.0,155.3
2042,TRANSFER,44,Missouri,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,44,Michigan State,,25,0,3,10,12.0,0.0,181.8
2042,OVERALL,45,23 North Carolina,,6,0,5,1,,,109.5
2042,HS,45,Iowa,,13,0,1,12,0.0,0.0,153.95
2042,TRANSFER,45,Mississippi State,,9,0,0,9,0.0,0.0,118.5
2042,OVERALL,45,Georgia Tech,,17,0,3,14,0.0,0.0,180.05
2042,HS,46,Oklahoma,,9,0,7,2,0.0,0.0,150.95
2042,TRANSFER,46,Boston College,,10,0,0,7,3.0,0.0,117.55
2042,OVERALL,46,East Carolina,,32,0,0,26,6.0,0.0,178.2
2042,HS,47,Georgia Tech,,11,0,3,8,0.0,0.0,150.6
2042,TRANSFER,47,Syracuse,,10,0,0,7,3.0,0.0,117.55
2042,OVERALL,47,Arkansas,,16,1,1,14,0.0,0.0,177.4
2042,HS,48,Louisville,,17,0,0,9,8.0,0.0,149.9
2042,TRANSFER,48,Stanford,,10,0,0,7,3.0,0.0,117.55
2042,OVERALL,48,Navy,,30,0,0,19,11.0,0.0,175.55
2042,HS,49,Rutgers,,16,0,0,9,6.0,1.0,146.55
2042,TRANSFER,49,Rutgers,,9,0,0,8,1.0,0.0,115.15
2042,OVERALL,49,Wake Forest,,30,0,0,18,12.0,0.0,174.85
2042,HS,50,Minnesota,,19,0,0,7,12.0,0.0,145.95
2042,TRANSFER,50,Illinois,,9,0,0,8,1.0,0.0,115.15
2042,OVERALL,50,Fresno State,,17,0,2,14,1.0,0.0,174.5
2042,HS,51,Wake Forest,,18,0,0,6,12.0,0.0,140.55
2042,TRANSFER,51,Indiana,,9,0,0,8,1.0,0.0,115.15
2042,OVERALL,51,Colorado,,23,0,0,20,3.0,0.0,173.4
2042,HS,52,Southern Mississippi,,15,0,0,7,6.0,2.0,135.0
2042,TRANSFER,52,USF,Josh,6,0,6,0,0.0,0.0,113.8
2042,OVERALL,52,Hawai'i,,28,0,0,17,9.0,2.0,173.1
2042,HS,53,Kansas,,19,0,0,4,15.0,0.0,133.1
2042,TRANSFER,53,Alabama,,6,0,5,1,0.0,0.0,109.5
2042,OVERALL,53,Kansas State,,22,0,0,20,2.0,0.0,173.1
2042,OVERALL,54,20 Panama City,,5,0,5,0,,,96.6
2042,HS,54,Colorado,,11,0,0,10,1.0,0.0,133.05
